ID,Title,Tags,Score,Solved,Accepted,Link
1666H,Heroes of Might,math,3500,25,0,https://codeforces.com/problemset/problem/1666/H
1666G,Global Warming,"geometry, math",3100,85,0,https://codeforces.com/problemset/problem/1666/G
1666F,Fancy Stack,"combinatorics, dp, implementation",2200,646,0,https://codeforces.com/problemset/problem/1666/F
1666E,Even Split,"binary search, constructive algorithms, greedy, math",2500,414,0,https://codeforces.com/problemset/problem/1666/E
1666D,Deletive Editing,greedy,900,3955,0,https://codeforces.com/problemset/problem/1666/D
1666C,Connect the Points,"brute force, constructive algorithms, geometry",1800,2032,0,https://codeforces.com/problemset/problem/1666/C
1666B,Budget Distribution,,3300,22,0,https://codeforces.com/problemset/problem/1666/B
1666A,Admissible Map,,3300,57,0,https://codeforces.com/problemset/problem/1666/A
1665E,MinimizOR,"bitmasks, brute force, data structures, divide and conquer, greedy, implementation, two pointers",2500,933,0,https://codeforces.com/problemset/problem/1665/E
1665D,GCD Guess,"bitmasks, chinese remainder theorem, constructive algorithms, games, interactive, math, number theory",2000,2477,0,https://codeforces.com/problemset/problem/1665/D
1665C,Tree Infection,"binary search, greedy, sortings, trees",1600,5617,0,https://codeforces.com/problemset/problem/1665/C
1665B,Array Cloning Technique,"constructive algorithms, greedy, sortings",900,14405,0,https://codeforces.com/problemset/problem/1665/B
1665A,GCD vs LCM,"constructive algorithms, math",800,18742,0,https://codeforces.com/problemset/problem/1665/A
1661F,Teleporters,"binary search, greedy",2600,340,0,https://codeforces.com/problemset/problem/1661/F
1661E,Narrow Components,"brute force, data structures, dp, dsu, math, trees",2500,632,0,https://codeforces.com/problemset/problem/1661/E
1661D,Progressions Covering,"data structures, greedy",1900,3096,0,https://codeforces.com/problemset/problem/1661/D
1661C,Water the Trees,"binary search, greedy, math",1700,6288,0,https://codeforces.com/problemset/problem/1661/C
1661B,Getting Zero,"bitmasks, brute force, dfs and similar, dp, graphs, greedy, shortest paths",1300,11393,0,https://codeforces.com/problemset/problem/1661/B
1661A,Array Balancing,"greedy, math",800,15823,0,https://codeforces.com/problemset/problem/1661/A
1660F2,Promising String (hard version),"data structures, implementation, math, strings",2100,1817,0,https://codeforces.com/problemset/problem/1660/F2
1660F1,Promising String (easy version),"brute force, implementation, math, strings",1700,5158,0,https://codeforces.com/problemset/problem/1660/F1
1660E,Matrix and Shifts,"brute force, constructive algorithms, greedy, implementation",1600,4863,0,https://codeforces.com/problemset/problem/1660/E
1660D,Maximum Product Strikes Back,"brute force, implementation, math, two pointers",1600,5581,0,https://codeforces.com/problemset/problem/1660/D
1660C,Get an Even String,"dp, greedy, strings",1300,13119,0,https://codeforces.com/problemset/problem/1660/C
1660B,Vlad and Candies,math,800,22385,0,https://codeforces.com/problemset/problem/1660/B
1660A,Vasya and Coins,"greedy, math",800,27278,0,https://codeforces.com/problemset/problem/1660/A
1659F,Tree and Permutation Game,"dfs and similar, games, graphs, trees",3000,82,0,https://codeforces.com/problemset/problem/1659/F
1659E,AND-MEX Walk,"bitmasks, brute force, constructive algorithms, dfs and similar, dsu, graphs",2200,897,0,https://codeforces.com/problemset/problem/1659/E
1659D,Reverse Sort Sum,"constructive algorithms, data structures, greedy, implementation, math, two pointers",1900,2638,0,https://codeforces.com/problemset/problem/1659/D
1659C,Line Empire,"binary search, brute force, dp, greedy, implementation, math",1500,6302,0,https://codeforces.com/problemset/problem/1659/C
1659B,Bit Flipping,"bitmasks, constructive algorithms, greedy, strings",1300,7464,0,https://codeforces.com/problemset/problem/1659/B
1659A,Red Versus Blue,"constructive algorithms, greedy, implementation, math",1000,12014,0,https://codeforces.com/problemset/problem/1659/A
1658F,Juju and Binary String,"brute force, constructive algorithms, greedy, math",2700,493,0,https://codeforces.com/problemset/problem/1658/F
1658E,Gojou and Matrix Game,"data structures, dp, games, hashing, implementation, math, number theory, sortings",2500,693,0,https://codeforces.com/problemset/problem/1658/E
1658D2,388535 (Hard Version),"bitmasks, brute force, data structures, math",2300,1766,0,https://codeforces.com/problemset/problem/1658/D2
1658D1,388535 (Easy Version),"bitmasks, math",1600,6458,0,https://codeforces.com/problemset/problem/1658/D1
1658C,Shinju and the Lost Permutation,"constructive algorithms, math",1700,7297,0,https://codeforces.com/problemset/problem/1658/C
1658B,Marin and Anti-coprime Permutation,"combinatorics, math, number theory",800,15742,0,https://codeforces.com/problemset/problem/1658/B
1658A,Marin and Photoshoot,"constructive algorithms, implementation, math",800,17879,0,https://codeforces.com/problemset/problem/1658/A
1657F,Words on Tree,"2-sat, dfs and similar, dsu, graphs, trees",2600,362,0,https://codeforces.com/problemset/problem/1657/F
1657E,Star MST,"combinatorics, dp, graph matchings, math",2200,1200,0,https://codeforces.com/problemset/problem/1657/E
1657D,For Gamers. By Gamers.,"binary search, brute force, greedy, math, sortings",2000,3794,0,https://codeforces.com/problemset/problem/1657/D
1657C,Bracket Sequence Deletion,"greedy, implementation",1200,13363,0,https://codeforces.com/problemset/problem/1657/C
1657B,XY Sequence,greedy,800,19905,0,https://codeforces.com/problemset/problem/1657/B
1657A,Integer Moves,"brute force, math",800,20604,0,https://codeforces.com/problemset/problem/1657/A
1656I,Neighbour Ordering,"constructive algorithms, graphs",3500,29,0,https://codeforces.com/problemset/problem/1656/I
1656H,Equal LCM Subsets,"data structures, math, number theory",3200,178,0,https://codeforces.com/problemset/problem/1656/H
1656G,Cycle Palindrome,"constructive algorithms, graphs, math",3200,156,0,https://codeforces.com/problemset/problem/1656/G
1656F,Parametric MST,"binary search, constructive algorithms, graphs, greedy, math, sortings",2600,677,0,https://codeforces.com/problemset/problem/1656/F
1656E,Equal Tree Sums,"constructive algorithms, dfs and similar, math, trees",2200,2342,0,https://codeforces.com/problemset/problem/1656/E
1656D,K-good,"constructive algorithms, math, number theory",1900,4909,0,https://codeforces.com/problemset/problem/1656/D
1656C,Make Equal With Mod,"constructive algorithms, math, number theory, sortings",1200,12931,0,https://codeforces.com/problemset/problem/1656/C
1656B,Subtract Operation,"data structures, greedy, math, two pointers",1100,13490,0,https://codeforces.com/problemset/problem/1656/B
1656A,Good Pairs,"math, sortings",800,16668,0,https://codeforces.com/problemset/problem/1656/A
1654H,Three Minimums,"combinatorics, constructive algorithms, divide and conquer, dp, fft, math",3500,39,0,https://codeforces.com/problemset/problem/1654/H
1654G,Snowy Mountain,"data structures, dfs and similar, graphs, greedy, shortest paths, trees",2900,176,0,https://codeforces.com/problemset/problem/1654/G
1654F,Minimal String Xoration,"bitmasks, data structures, divide and conquer, greedy, hashing, sortings, strings",2800,613,0,https://codeforces.com/problemset/problem/1654/F
1654E,Arithmetic Operations,"brute force, data structures, graphs, math",2300,1422,0,https://codeforces.com/problemset/problem/1654/E
1654D,Potion Brewing Class,"dfs and similar, math, number theory, trees",2100,2188,0,https://codeforces.com/problemset/problem/1654/D
1654C,Alice and the Cake,"data structures, greedy, implementation, sortings",1400,9949,0,https://codeforces.com/problemset/problem/1654/C
1654B,Prefix Removals,strings,800,13847,0,https://codeforces.com/problemset/problem/1654/B
1654A,Maximum Cake Tastiness,"brute force, greedy, implementation, sortings",800,16129,0,https://codeforces.com/problemset/problem/1654/A
1651F,Tower Defense,"binary search, brute force, data structures",3000,178,0,https://codeforces.com/problemset/problem/1651/F
1651E,Sum of Matchings,"brute force, combinatorics, constructive algorithms, dfs and similar, graph matchings, greedy, math",2600,357,0,https://codeforces.com/problemset/problem/1651/E
1651D,Nearest Excluded Points,"binary search, data structures, dfs and similar, graphs, shortest paths",1900,3472,0,https://codeforces.com/problemset/problem/1651/D
1651C,Fault-tolerant Network,"brute force, data structures, implementation",1500,8212,0,https://codeforces.com/problemset/problem/1651/C
1651B,Prove Him Wrong,"constructive algorithms, greedy",800,17594,0,https://codeforces.com/problemset/problem/1651/B
1651A,Playoff,implementation,800,21724,0,https://codeforces.com/problemset/problem/1651/A
1650G,Counting Shortcuts,"data structures, dfs and similar, dp, graphs, shortest paths",2100,1605,0,https://codeforces.com/problemset/problem/1650/G
1650F,Vitaly and Advanced Useless Algorithms,"dp, greedy, implementation",2200,988,0,https://codeforces.com/problemset/problem/1650/F
1650E,Rescheduling the Exam,"binary search, data structures, greedy, implementation, math, sortings",1900,3116,0,https://codeforces.com/problemset/problem/1650/E
1650D,Twist the Permutation,"brute force, constructive algorithms, implementation, math",1300,9703,0,https://codeforces.com/problemset/problem/1650/D
1650C,Weight of the System of Nested Segments,"greedy, hashing, implementation, sortings",1200,12856,0,https://codeforces.com/problemset/problem/1650/C
1650B,DIV + MOD,math,900,20172,0,https://codeforces.com/problemset/problem/1650/B
1650A,Deletions of Two Adjacent Letters,"implementation, strings",800,26581,0,https://codeforces.com/problemset/problem/1650/A
1649B,Game of Ball Passing,"greedy, implementation",1300,9710,0,https://codeforces.com/problemset/problem/1649/B
1649A,Game,implementation,800,13179,0,https://codeforces.com/problemset/problem/1649/A
